,model,layer,accuracy
0,alexnet,ReLU-1,1.0
1,alexnet,ReLU-1,0.6666666666666666
2,alexnet,ReLU-1,0.6666666666666666
3,alexnet,ReLU-1,1.0
4,alexnet,ReLU-1,1.0
5,alexnet,ReLU-1,1.0
6,alexnet,ReLU-1,1.0
7,alexnet,ReLU-1,1.0
8,alexnet,ReLU-1,0.6666666666666666
9,alexnet,ReLU-1,1.0
10,alexnet,ReLU-1,1.0
11,alexnet,ReLU-1,1.0
12,alexnet,ReLU-1,1.0
13,alexnet,ReLU-1,1.0
14,alexnet,ReLU-1,1.0
15,alexnet,ReLU-1,1.0
16,alexnet,ReLU-1,1.0
17,alexnet,ReLU-1,1.0
18,alexnet,ReLU-1,1.0
19,alexnet,ReLU-1,1.0
20,alexnet,ReLU-1,1.0
21,alexnet,ReLU-1,0.6666666666666666
22,alexnet,ReLU-1,1.0
23,alexnet,ReLU-1,1.0
24,alexnet,ReLU-1,1.0
25,alexnet,ReLU-1,1.0
26,alexnet,ReLU-1,1.0
27,alexnet,ReLU-1,0.6666666666666666
28,alexnet,ReLU-1,1.0
29,alexnet,ReLU-1,1.0
30,alexnet,ReLU-1,0.6666666666666666
31,alexnet,ReLU-1,1.0
32,alexnet,ReLU-1,1.0
33,alexnet,ReLU-1,1.0
34,alexnet,ReLU-1,1.0
35,alexnet,ReLU-1,1.0
36,alexnet,ReLU-1,1.0
37,alexnet,ReLU-1,1.0
38,alexnet,ReLU-1,1.0
39,alexnet,ReLU-1,1.0
40,alexnet,ReLU-1,1.0
41,alexnet,ReLU-1,1.0
42,alexnet,ReLU-1,1.0
43,alexnet,ReLU-1,1.0
44,alexnet,ReLU-1,1.0
45,alexnet,ReLU-1,1.0
46,alexnet,ReLU-1,0.3333333333333333
47,alexnet,ReLU-1,0.3333333333333333
48,alexnet,ReLU-1,1.0
49,alexnet,ReLU-1,1.0
50,alexnet,ReLU-1,1.0
51,alexnet,ReLU-1,0.3333333333333333
52,alexnet,ReLU-1,0.3333333333333333
53,alexnet,ReLU-1,0.3333333333333333
54,alexnet,ReLU-1,1.0
55,alexnet,ReLU-1,0.6666666666666666
56,alexnet,ReLU-1,0.6666666666666666
57,alexnet,ReLU-1,1.0
58,alexnet,ReLU-1,0.3333333333333333
59,alexnet,ReLU-1,0.3333333333333333
60,alexnet,ReLU-2,1.0
61,alexnet,ReLU-2,1.0
62,alexnet,ReLU-2,1.0
63,alexnet,ReLU-2,0.3333333333333333
64,alexnet,ReLU-2,1.0
65,alexnet,ReLU-2,0.6666666666666666
66,alexnet,ReLU-2,0.6666666666666666
67,alexnet,ReLU-2,1.0
68,alexnet,ReLU-2,0.6666666666666666
69,alexnet,ReLU-2,1.0
70,alexnet,ReLU-2,1.0
71,alexnet,ReLU-2,1.0
72,alexnet,ReLU-2,1.0
73,alexnet,ReLU-2,1.0
74,alexnet,ReLU-2,1.0
75,alexnet,ReLU-2,1.0
76,alexnet,ReLU-2,1.0
77,alexnet,ReLU-2,1.0
78,alexnet,ReLU-2,1.0
79,alexnet,ReLU-2,1.0
