,model,layer,accuracy,experiment
167,alexnet,ReLU-2,1,curv
168,alexnet,ReLU-2,0,curv
169,alexnet,ReLU-2,1,curv
170,alexnet,ReLU-2,1,curv
171,alexnet,ReLU-2,0,curv
172,alexnet,ReLU-2,1,curv
173,alexnet,ReLU-2,1,curv
174,alexnet,ReLU-2,1,curv
175,alexnet,ReLU-2,0,curv
176,alexnet,ReLU-2,1,curv
177,alexnet,ReLU-2,1,curv
178,alexnet,ReLU-2,0,curv
179,alexnet,ReLU-2,1,curv
180,alexnet,ReLU-2,0,curv
181,alexnet,ReLU-2,1,curv
182,alexnet,ReLU-2,0,curv
183,alexnet,ReLU-2,0,curv
184,alexnet,ReLU-2,0,curv
185,alexnet,ReLU-2,0,curv
186,alexnet,ReLU-2,1,curv
187,alexnet,ReLU-2,0,curv
188,alexnet,ReLU-2,1,curv
189,alexnet,ReLU-2,1,curv
190,alexnet,ReLU-2,0,curv
191,alexnet,ReLU-2,1,curv
192,alexnet,ReLU-2,1,curv
193,alexnet,ReLU-2,0,curv
194,alexnet,ReLU-2,1,curv
195,alexnet,ReLU-2,0,curv
196,alexnet,ReLU-2,1,curv
197,alexnet,ReLU-2,1,curv
198,alexnet,ReLU-2,0,curv
199,alexnet,ReLU-2,0,curv
200,alexnet,ReLU-2,0,curv
201,alexnet,ReLU-2,1,curv
202,alexnet,ReLU-2,1,curv
203,alexnet,ReLU-2,0,curv
204,alexnet,ReLU-2,0,curv
205,alexnet,ReLU-2,0,curv
206,alexnet,ReLU-2,0,curv
207,alexnet,ReLU-2,0,curv
208,alexnet,ReLU-2,0,curv
209,alexnet,ReLU-2,0,curv
210,alexnet,ReLU-2,0,curv
211,alexnet,ReLU-2,0,curv
212,alexnet,ReLU-2,1,curv
213,alexnet,ReLU-2,0,curv
214,alexnet,ReLU-2,1,curv
215,alexnet,ReLU-2,0,curv
216,alexnet,ReLU-2,1,curv
217,alexnet,ReLU-2,1,curv
218,alexnet,ReLU-2,1,curv
219,alexnet,ReLU-2,0,curv
220,alexnet,ReLU-2,0,curv
221,alexnet,ReLU-2,0,curv
222,alexnet,ReLU-2,1,curv
223,alexnet,ReLU-2,0,curv
224,alexnet,ReLU-2,0,curv
225,alexnet,ReLU-2,1,curv
226,alexnet,ReLU-2,0,curv
227,alexnet,ReLU-2,0,curv
228,alexnet,ReLU-2,1,curv
229,alexnet,ReLU-2,0,curv
230,alexnet,ReLU-2,0,curv
231,alexnet,ReLU-2,0,curv
232,alexnet,ReLU-2,1,curv
233,alexnet,ReLU-2,1,curv
