,model,layer,accuracy,experiment
196,alexnet,ReLU-2,0,rect
197,alexnet,ReLU-2,1,rect
198,alexnet,ReLU-2,0,rect
199,alexnet,ReLU-2,1,rect
200,alexnet,ReLU-2,1,rect
201,alexnet,ReLU-2,1,rect
202,alexnet,ReLU-2,1,rect
203,alexnet,ReLU-2,1,rect
204,alexnet,ReLU-2,1,rect
205,alexnet,ReLU-2,1,rect
206,alexnet,ReLU-2,1,rect
207,alexnet,ReLU-2,1,rect
208,alexnet,ReLU-2,1,rect
209,alexnet,ReLU-2,1,rect
210,alexnet,ReLU-2,1,rect
211,alexnet,ReLU-2,1,rect
212,alexnet,ReLU-2,1,rect
213,alexnet,ReLU-2,1,rect
214,alexnet,ReLU-2,1,rect
215,alexnet,ReLU-2,1,rect
216,alexnet,ReLU-2,1,rect
217,alexnet,ReLU-2,1,rect
218,alexnet,ReLU-2,1,rect
219,alexnet,ReLU-2,1,rect
220,alexnet,ReLU-2,0,rect
221,alexnet,ReLU-2,1,rect
222,alexnet,ReLU-2,1,rect
223,alexnet,ReLU-2,0,rect
224,alexnet,ReLU-2,1,rect
225,alexnet,ReLU-2,0,rect
226,alexnet,ReLU-2,0,rect
227,alexnet,ReLU-2,0,rect
228,alexnet,ReLU-2,0,rect
229,alexnet,ReLU-2,1,rect
230,alexnet,ReLU-2,0,rect
231,alexnet,ReLU-2,0,rect
232,alexnet,ReLU-2,1,rect
233,alexnet,ReLU-2,0,rect
234,alexnet,ReLU-2,1,rect
235,alexnet,ReLU-2,1,rect
236,alexnet,ReLU-2,0,rect
237,alexnet,ReLU-2,0,rect
238,alexnet,ReLU-2,1,rect
239,alexnet,ReLU-2,0,rect
240,alexnet,ReLU-3,1,rect
241,alexnet,ReLU-3,1,rect
242,alexnet,ReLU-3,1,rect
243,alexnet,ReLU-3,1,rect
244,alexnet,ReLU-3,1,rect
245,alexnet,ReLU-3,1,rect
246,alexnet,ReLU-3,1,rect
247,alexnet,ReLU-3,1,rect
248,alexnet,ReLU-3,1,rect
249,alexnet,ReLU-3,1,rect
250,alexnet,ReLU-3,1,rect
251,alexnet,ReLU-3,1,rect
252,alexnet,ReLU-3,1,rect
253,alexnet,ReLU-3,1,rect
254,alexnet,ReLU-3,1,rect
255,alexnet,ReLU-3,1,rect
256,alexnet,ReLU-3,1,rect
257,alexnet,ReLU-3,1,rect
258,alexnet,ReLU-3,1,rect
259,alexnet,ReLU-3,1,rect
260,alexnet,ReLU-3,1,rect
261,alexnet,ReLU-3,1,rect
262,alexnet,ReLU-3,1,rect
263,alexnet,ReLU-3,1,rect
264,alexnet,ReLU-3,1,rect
265,alexnet,ReLU-3,1,rect
266,alexnet,ReLU-3,1,rect
267,alexnet,ReLU-3,1,rect
268,alexnet,ReLU-3,1,rect
269,alexnet,ReLU-3,1,rect
270,alexnet,ReLU-3,1,rect
271,alexnet,ReLU-3,1,rect
272,alexnet,ReLU-3,1,rect
273,alexnet,ReLU-3,1,rect
274,alexnet,ReLU-3,1,rect
275,alexnet,ReLU-3,1,rect
276,alexnet,ReLU-3,1,rect
277,alexnet,ReLU-3,1,rect
278,alexnet,ReLU-3,1,rect
279,alexnet,ReLU-3,1,rect
280,alexnet,ReLU-3,1,rect
281,alexnet,ReLU-3,1,rect
282,alexnet,ReLU-3,1,rect
283,alexnet,ReLU-3,1,rect
284,alexnet,ReLU-3,1,rect
285,alexnet,ReLU-3,1,rect
286,alexnet,ReLU-3,1,rect
287,alexnet,ReLU-3,1,rect
288,alexnet,ReLU-3,1,rect
289,alexnet,ReLU-3,1,rect
290,alexnet,ReLU-3,1,rect
291,alexnet,ReLU-3,1,rect
292,alexnet,ReLU-3,1,rect
293,alexnet,ReLU-3,1,rect
294,alexnet,ReLU-3,1,rect
295,alexnet,ReLU-3,1,rect
296,alexnet,ReLU-3,1,rect
297,alexnet,ReLU-3,1,rect
298,alexnet,ReLU-3,1,rect
299,alexnet,ReLU-3,1,rect
300,alexnet,ReLU-3,1,rect
301,alexnet,ReLU-3,1,rect
302,alexnet,ReLU-3,1,rect
303,alexnet,ReLU-3,1,rect
304,alexnet,ReLU-3,1,rect
305,alexnet,ReLU-3,1,rect
306,alexnet,ReLU-3,1,rect
307,alexnet,ReLU-3,1,rect
308,alexnet,ReLU-3,1,rect
309,alexnet,ReLU-3,1,rect
310,alexnet,ReLU-3,1,rect
311,alexnet,ReLU-3,1,rect
312,alexnet,ReLU-3,1,rect
313,alexnet,ReLU-3,1,rect
314,alexnet,ReLU-3,1,rect
315,alexnet,ReLU-3,1,rect
316,alexnet,ReLU-3,1,rect
317,alexnet,ReLU-3,1,rect
318,alexnet,ReLU-3,1,rect
319,alexnet,ReLU-3,1,rect
320,alexnet,ReLU-3,1,rect
321,alexnet,ReLU-3,1,rect
322,alexnet,ReLU-3,1,rect
323,alexnet,ReLU-3,1,rect
324,alexnet,ReLU-3,1,rect
325,alexnet,ReLU-3,1,rect
326,alexnet,ReLU-3,1,rect
327,alexnet,ReLU-3,1,rect
328,alexnet,ReLU-3,1,rect
329,alexnet,ReLU-3,1,rect
330,alexnet,ReLU-3,1,rect
331,alexnet,ReLU-3,1,rect
332,alexnet,ReLU-3,1,rect
333,alexnet,ReLU-3,1,rect
334,alexnet,ReLU-3,1,rect
335,alexnet,ReLU-3,1,rect
336,alexnet,ReLU-3,1,rect
337,alexnet,ReLU-3,1,rect
338,alexnet,ReLU-3,1,rect
339,alexnet,ReLU-3,1,rect
340,alexnet,ReLU-3,1,rect
341,alexnet,ReLU-3,1,rect
342,alexnet,ReLU-3,1,rect
343,alexnet,ReLU-3,0,rect
344,alexnet,ReLU-3,1,rect
345,alexnet,ReLU-3,0,rect
346,alexnet,ReLU-3,1,rect
347,alexnet,ReLU-3,0,rect
348,alexnet,ReLU-3,0,rect
349,alexnet,ReLU-3,0,rect
350,alexnet,ReLU-3,1,rect
351,alexnet,ReLU-3,0,rect
352,alexnet,ReLU-3,0,rect
353,alexnet,ReLU-3,1,rect
354,alexnet,ReLU-3,0,rect
355,alexnet,ReLU-3,0,rect
356,alexnet,ReLU-3,1,rect
357,alexnet,ReLU-3,0,rect
358,alexnet,ReLU-3,1,rect
359,alexnet,ReLU-3,1,rect
360,alexnet,ReLU-4,1,rect
361,alexnet,ReLU-4,1,rect
362,alexnet,ReLU-4,1,rect
363,alexnet,ReLU-4,1,rect
364,alexnet,ReLU-4,1,rect
365,alexnet,ReLU-4,1,rect
366,alexnet,ReLU-4,1,rect
367,alexnet,ReLU-4,1,rect
368,alexnet,ReLU-4,1,rect
369,alexnet,ReLU-4,1,rect
370,alexnet,ReLU-4,1,rect
371,alexnet,ReLU-4,1,rect
372,alexnet,ReLU-4,1,rect
373,alexnet,ReLU-4,1,rect
374,alexnet,ReLU-4,1,rect
375,alexnet,ReLU-4,1,rect
376,alexnet,ReLU-4,1,rect
377,alexnet,ReLU-4,1,rect
378,alexnet,ReLU-4,0,rect
379,alexnet,ReLU-4,1,rect
380,alexnet,ReLU-4,1,rect
381,alexnet,ReLU-4,1,rect
382,alexnet,ReLU-4,1,rect
383,alexnet,ReLU-4,1,rect
384,alexnet,ReLU-4,1,rect
385,alexnet,ReLU-4,1,rect
386,alexnet,ReLU-4,1,rect
387,alexnet,ReLU-4,1,rect
388,alexnet,ReLU-4,1,rect
389,alexnet,ReLU-4,1,rect
390,alexnet,ReLU-4,1,rect
391,alexnet,ReLU-4,1,rect
392,alexnet,ReLU-4,1,rect
393,alexnet,ReLU-4,1,rect
394,alexnet,ReLU-4,1,rect
395,alexnet,ReLU-4,1,rect
396,alexnet,ReLU-4,1,rect
397,alexnet,ReLU-4,1,rect
398,alexnet,ReLU-4,1,rect
399,alexnet,ReLU-4,1,rect
400,alexnet,ReLU-4,1,rect
401,alexnet,ReLU-4,1,rect
402,alexnet,ReLU-4,1,rect
403,alexnet,ReLU-4,1,rect
404,alexnet,ReLU-4,1,rect
405,alexnet,ReLU-4,1,rect
406,alexnet,ReLU-4,1,rect
407,alexnet,ReLU-4,1,rect
408,alexnet,ReLU-4,1,rect
409,alexnet,ReLU-4,1,rect
410,alexnet,ReLU-4,1,rect
411,alexnet,ReLU-4,1,rect
412,alexnet,ReLU-4,1,rect
413,alexnet,ReLU-4,1,rect
414,alexnet,ReLU-4,1,rect
415,alexnet,ReLU-4,1,rect
416,alexnet,ReLU-4,1,rect
417,alexnet,ReLU-4,1,rect
418,alexnet,ReLU-4,1,rect
419,alexnet,ReLU-4,1,rect
420,alexnet,ReLU-4,1,rect
421,alexnet,ReLU-4,1,rect
422,alexnet,ReLU-4,1,rect
423,alexnet,ReLU-4,1,rect
424,alexnet,ReLU-4,1,rect
425,alexnet,ReLU-4,1,rect
426,alexnet,ReLU-4,1,rect
427,alexnet,ReLU-4,1,rect
428,alexnet,ReLU-4,1,rect
429,alexnet,ReLU-4,1,rect
430,alexnet,ReLU-4,1,rect
431,alexnet,ReLU-4,1,rect
432,alexnet,ReLU-4,1,rect
433,alexnet,ReLU-4,1,rect
434,alexnet,ReLU-4,1,rect
435,alexnet,ReLU-4,1,rect
436,alexnet,ReLU-4,1,rect
437,alexnet,ReLU-4,1,rect
438,alexnet,ReLU-4,1,rect
439,alexnet,ReLU-4,1,rect
440,alexnet,ReLU-4,1,rect
441,alexnet,ReLU-4,1,rect
442,alexnet,ReLU-4,1,rect
443,alexnet,ReLU-4,1,rect
444,alexnet,ReLU-4,1,rect
445,alexnet,ReLU-4,1,rect
446,alexnet,ReLU-4,1,rect
447,alexnet,ReLU-4,1,rect
448,alexnet,ReLU-4,1,rect
449,alexnet,ReLU-4,1,rect
450,alexnet,ReLU-4,1,rect
451,alexnet,ReLU-4,1,rect
452,alexnet,ReLU-4,1,rect
453,alexnet,ReLU-4,1,rect
454,alexnet,ReLU-4,1,rect
455,alexnet,ReLU-4,1,rect
456,alexnet,ReLU-4,1,rect
457,alexnet,ReLU-4,1,rect
458,alexnet,ReLU-4,1,rect
459,alexnet,ReLU-4,1,rect
460,alexnet,ReLU-4,1,rect
461,alexnet,ReLU-4,0,rect
462,alexnet,ReLU-4,0,rect
463,alexnet,ReLU-4,1,rect
464,alexnet,ReLU-4,1,rect
465,alexnet,ReLU-4,0,rect
466,alexnet,ReLU-4,0,rect
467,alexnet,ReLU-4,0,rect
468,alexnet,ReLU-4,1,rect
469,alexnet,ReLU-4,0,rect
470,alexnet,ReLU-4,1,rect
471,alexnet,ReLU-4,0,rect
472,alexnet,ReLU-4,1,rect
473,alexnet,ReLU-4,1,rect
474,alexnet,ReLU-4,0,rect
475,alexnet,ReLU-4,1,rect
476,alexnet,ReLU-4,0,rect
477,alexnet,ReLU-4,0,rect
478,alexnet,ReLU-4,1,rect
479,alexnet,ReLU-4,1,rect
480,alexnet,ReLU-5,1,rect
481,alexnet,ReLU-5,1,rect
482,alexnet,ReLU-5,1,rect
483,alexnet,ReLU-5,1,rect
484,alexnet,ReLU-5,1,rect
485,alexnet,ReLU-5,0,rect
486,alexnet,ReLU-5,1,rect
487,alexnet,ReLU-5,1,rect
488,alexnet,ReLU-5,1,rect
489,alexnet,ReLU-5,0,rect
490,alexnet,ReLU-5,1,rect
491,alexnet,ReLU-5,1,rect
492,alexnet,ReLU-5,1,rect
493,alexnet,ReLU-5,1,rect
494,alexnet,ReLU-5,1,rect
495,alexnet,ReLU-5,1,rect
496,alexnet,ReLU-5,1,rect
497,alexnet,ReLU-5,1,rect
498,alexnet,ReLU-5,0,rect
499,alexnet,ReLU-5,1,rect
500,alexnet,ReLU-5,1,rect
501,alexnet,ReLU-5,1,rect
502,alexnet,ReLU-5,1,rect
503,alexnet,ReLU-5,1,rect
504,alexnet,ReLU-5,1,rect
505,alexnet,ReLU-5,1,rect
506,alexnet,ReLU-5,1,rect
507,alexnet,ReLU-5,1,rect
508,alexnet,ReLU-5,1,rect
509,alexnet,ReLU-5,1,rect
510,alexnet,ReLU-5,1,rect
511,alexnet,ReLU-5,1,rect
512,alexnet,ReLU-5,1,rect
513,alexnet,ReLU-5,1,rect
514,alexnet,ReLU-5,1,rect
515,alexnet,ReLU-5,1,rect
516,alexnet,ReLU-5,1,rect
517,alexnet,ReLU-5,1,rect
518,alexnet,ReLU-5,1,rect
519,alexnet,ReLU-5,1,rect
520,alexnet,ReLU-5,1,rect
521,alexnet,ReLU-5,1,rect
522,alexnet,ReLU-5,1,rect
523,alexnet,ReLU-5,1,rect
524,alexnet,ReLU-5,1,rect
525,alexnet,ReLU-5,1,rect
526,alexnet,ReLU-5,1,rect
527,alexnet,ReLU-5,1,rect
528,alexnet,ReLU-5,1,rect
529,alexnet,ReLU-5,1,rect
530,alexnet,ReLU-5,1,rect
531,alexnet,ReLU-5,1,rect
532,alexnet,ReLU-5,1,rect
533,alexnet,ReLU-5,1,rect
534,alexnet,ReLU-5,1,rect
535,alexnet,ReLU-5,1,rect
536,alexnet,ReLU-5,1,rect
537,alexnet,ReLU-5,1,rect
538,alexnet,ReLU-5,1,rect
539,alexnet,ReLU-5,1,rect
540,alexnet,ReLU-5,1,rect
541,alexnet,ReLU-5,1,rect
542,alexnet,ReLU-5,1,rect
543,alexnet,ReLU-5,1,rect
544,alexnet,ReLU-5,1,rect
545,alexnet,ReLU-5,1,rect
546,alexnet,ReLU-5,1,rect
547,alexnet,ReLU-5,1,rect
548,alexnet,ReLU-5,1,rect
549,alexnet,ReLU-5,1,rect
550,alexnet,ReLU-5,1,rect
551,alexnet,ReLU-5,1,rect
552,alexnet,ReLU-5,1,rect
553,alexnet,ReLU-5,1,rect
554,alexnet,ReLU-5,0,rect
555,alexnet,ReLU-5,1,rect
556,alexnet,ReLU-5,1,rect
557,alexnet,ReLU-5,1,rect
558,alexnet,ReLU-5,1,rect
559,alexnet,ReLU-5,0,rect
560,alexnet,ReLU-5,1,rect
561,alexnet,ReLU-5,1,rect
562,alexnet,ReLU-5,1,rect
563,alexnet,ReLU-5,1,rect
564,alexnet,ReLU-5,1,rect
565,alexnet,ReLU-5,1,rect
566,alexnet,ReLU-5,1,rect
567,alexnet,ReLU-5,1,rect
568,alexnet,ReLU-5,1,rect
569,alexnet,ReLU-5,1,rect
570,alexnet,ReLU-5,1,rect
571,alexnet,ReLU-5,1,rect
572,alexnet,ReLU-5,1,rect
573,alexnet,ReLU-5,1,rect
574,alexnet,ReLU-5,1,rect
575,alexnet,ReLU-5,1,rect
576,alexnet,ReLU-5,1,rect
577,alexnet,ReLU-5,1,rect
578,alexnet,ReLU-5,1,rect
579,alexnet,ReLU-5,1,rect
580,alexnet,ReLU-5,1,rect
581,alexnet,ReLU-5,1,rect
582,alexnet,ReLU-5,1,rect
583,alexnet,ReLU-5,0,rect
584,alexnet,ReLU-5,1,rect
585,alexnet,ReLU-5,0,rect
586,alexnet,ReLU-5,0,rect
587,alexnet,ReLU-5,1,rect
588,alexnet,ReLU-5,0,rect
589,alexnet,ReLU-5,1,rect
590,alexnet,ReLU-5,1,rect
591,alexnet,ReLU-5,1,rect
592,alexnet,ReLU-5,0,rect
593,alexnet,ReLU-5,1,rect
594,alexnet,ReLU-5,1,rect
595,alexnet,ReLU-5,1,rect
596,alexnet,ReLU-5,1,rect
597,alexnet,ReLU-5,1,rect
598,alexnet,ReLU-5,0,rect
599,alexnet,ReLU-5,0,rect
600,alexnet,ReLU-6,1,rect
601,alexnet,ReLU-6,1,rect
602,alexnet,ReLU-6,1,rect
603,alexnet,ReLU-6,0,rect
604,alexnet,ReLU-6,1,rect
605,alexnet,ReLU-6,0,rect
606,alexnet,ReLU-6,1,rect
607,alexnet,ReLU-6,0,rect
608,alexnet,ReLU-6,1,rect
609,alexnet,ReLU-6,1,rect
610,alexnet,ReLU-6,1,rect
611,alexnet,ReLU-6,1,rect
612,alexnet,ReLU-6,1,rect
613,alexnet,ReLU-6,1,rect
614,alexnet,ReLU-6,1,rect
615,alexnet,ReLU-6,1,rect
616,alexnet,ReLU-6,1,rect
617,alexnet,ReLU-6,1,rect
618,alexnet,ReLU-6,1,rect
619,alexnet,ReLU-6,1,rect
620,alexnet,ReLU-6,1,rect
621,alexnet,ReLU-6,1,rect
622,alexnet,ReLU-6,1,rect
623,alexnet,ReLU-6,1,rect
624,alexnet,ReLU-6,1,rect
625,alexnet,ReLU-6,1,rect
626,alexnet,ReLU-6,1,rect
627,alexnet,ReLU-6,1,rect
628,alexnet,ReLU-6,1,rect
629,alexnet,ReLU-6,1,rect
630,alexnet,ReLU-6,1,rect
631,alexnet,ReLU-6,1,rect
632,alexnet,ReLU-6,1,rect
633,alexnet,ReLU-6,1,rect
634,alexnet,ReLU-6,1,rect
635,alexnet,ReLU-6,1,rect
636,alexnet,ReLU-6,1,rect
637,alexnet,ReLU-6,1,rect
638,alexnet,ReLU-6,1,rect
639,alexnet,ReLU-6,1,rect
640,alexnet,ReLU-6,1,rect
641,alexnet,ReLU-6,1,rect
642,alexnet,ReLU-6,1,rect
643,alexnet,ReLU-6,1,rect
644,alexnet,ReLU-6,1,rect
645,alexnet,ReLU-6,1,rect
646,alexnet,ReLU-6,1,rect
647,alexnet,ReLU-6,1,rect
648,alexnet,ReLU-6,1,rect
649,alexnet,ReLU-6,1,rect
650,alexnet,ReLU-6,1,rect
651,alexnet,ReLU-6,1,rect
652,alexnet,ReLU-6,1,rect
653,alexnet,ReLU-6,1,rect
654,alexnet,ReLU-6,1,rect
655,alexnet,ReLU-6,1,rect
656,alexnet,ReLU-6,1,rect
657,alexnet,ReLU-6,1,rect
658,alexnet,ReLU-6,1,rect
659,alexnet,ReLU-6,1,rect
660,alexnet,ReLU-6,1,rect
661,alexnet,ReLU-6,1,rect
662,alexnet,ReLU-6,1,rect
663,alexnet,ReLU-6,0,rect
664,alexnet,ReLU-6,1,rect
665,alexnet,ReLU-6,1,rect
666,alexnet,ReLU-6,1,rect
667,alexnet,ReLU-6,1,rect
668,alexnet,ReLU-6,1,rect
669,alexnet,ReLU-6,1,rect
670,alexnet,ReLU-6,0,rect
671,alexnet,ReLU-6,1,rect
672,alexnet,ReLU-6,1,rect
673,alexnet,ReLU-6,1,rect
674,alexnet,ReLU-6,1,rect
675,alexnet,ReLU-6,1,rect
676,alexnet,ReLU-6,1,rect
677,alexnet,ReLU-6,1,rect
678,alexnet,ReLU-6,1,rect
679,alexnet,ReLU-6,1,rect
680,alexnet,ReLU-6,1,rect
681,alexnet,ReLU-6,1,rect
682,alexnet,ReLU-6,1,rect
683,alexnet,ReLU-6,1,rect
684,alexnet,ReLU-6,1,rect
685,alexnet,ReLU-6,1,rect
686,alexnet,ReLU-6,1,rect
687,alexnet,ReLU-6,1,rect
688,alexnet,ReLU-6,1,rect
689,alexnet,ReLU-6,1,rect
690,alexnet,ReLU-6,1,rect
691,alexnet,ReLU-6,1,rect
692,alexnet,ReLU-6,1,rect
693,alexnet,ReLU-6,1,rect
694,alexnet,ReLU-6,1,rect
695,alexnet,ReLU-6,1,rect
696,alexnet,ReLU-6,1,rect
697,alexnet,ReLU-6,1,rect
698,alexnet,ReLU-6,1,rect
699,alexnet,ReLU-6,1,rect
700,alexnet,ReLU-6,0,rect
701,alexnet,ReLU-6,1,rect
702,alexnet,ReLU-6,0,rect
703,alexnet,ReLU-6,1,rect
704,alexnet,ReLU-6,1,rect
705,alexnet,ReLU-6,1,rect
706,alexnet,ReLU-6,1,rect
707,alexnet,ReLU-6,1,rect
708,alexnet,ReLU-6,0,rect
709,alexnet,ReLU-6,1,rect
710,alexnet,ReLU-6,1,rect
711,alexnet,ReLU-6,1,rect
712,alexnet,ReLU-6,1,rect
713,alexnet,ReLU-6,1,rect
714,alexnet,ReLU-6,1,rect
715,alexnet,ReLU-6,1,rect
716,alexnet,ReLU-6,0,rect
717,alexnet,ReLU-6,0,rect
718,alexnet,ReLU-6,0,rect
719,alexnet,ReLU-6,1,rect
720,alexnet,ReLU-7,1,rect
721,alexnet,ReLU-7,1,rect
722,alexnet,ReLU-7,1,rect
723,alexnet,ReLU-7,1,rect
724,alexnet,ReLU-7,0,rect
725,alexnet,ReLU-7,0,rect
726,alexnet,ReLU-7,1,rect
727,alexnet,ReLU-7,1,rect
728,alexnet,ReLU-7,1,rect
729,alexnet,ReLU-7,1,rect
730,alexnet,ReLU-7,1,rect
731,alexnet,ReLU-7,1,rect
732,alexnet,ReLU-7,0,rect
733,alexnet,ReLU-7,1,rect
734,alexnet,ReLU-7,1,rect
