,model,layer,accuracy,experiment
0,alexnet,ReLU-1,0,rect
1,alexnet,ReLU-1,0,rect
2,alexnet,ReLU-1,1,rect
3,alexnet,ReLU-1,0,rect
4,alexnet,ReLU-1,0,rect
5,alexnet,ReLU-1,0,rect
6,alexnet,ReLU-1,1,rect
7,alexnet,ReLU-1,1,rect
8,alexnet,ReLU-1,1,rect
9,alexnet,ReLU-1,0,rect
10,alexnet,ReLU-1,1,rect
11,alexnet,ReLU-1,0,rect
12,alexnet,ReLU-1,0,rect
13,alexnet,ReLU-1,0,rect
14,alexnet,ReLU-1,0,rect
15,alexnet,ReLU-1,1,rect
16,alexnet,ReLU-1,0,rect
17,alexnet,ReLU-1,0,rect
18,alexnet,ReLU-1,1,rect
19,alexnet,ReLU-1,1,rect
20,alexnet,ReLU-1,1,rect
21,alexnet,ReLU-1,1,rect
22,alexnet,ReLU-1,1,rect
23,alexnet,ReLU-1,1,rect
24,alexnet,ReLU-1,1,rect
25,alexnet,ReLU-1,1,rect
26,alexnet,ReLU-1,1,rect
27,alexnet,ReLU-1,1,rect
28,alexnet,ReLU-1,1,rect
29,alexnet,ReLU-1,1,rect
30,alexnet,ReLU-1,1,rect
31,alexnet,ReLU-1,1,rect
32,alexnet,ReLU-1,1,rect
33,alexnet,ReLU-1,1,rect
34,alexnet,ReLU-1,1,rect
35,alexnet,ReLU-1,1,rect
36,alexnet,ReLU-1,0,rect
37,alexnet,ReLU-1,0,rect
38,alexnet,ReLU-1,1,rect
39,alexnet,ReLU-1,1,rect
40,alexnet,ReLU-1,1,rect
41,alexnet,ReLU-1,1,rect
42,alexnet,ReLU-1,1,rect
43,alexnet,ReLU-1,1,rect
44,alexnet,ReLU-1,1,rect
45,alexnet,ReLU-1,1,rect
46,alexnet,ReLU-1,1,rect
47,alexnet,ReLU-1,1,rect
48,alexnet,ReLU-1,1,rect
49,alexnet,ReLU-1,1,rect
50,alexnet,ReLU-1,1,rect
51,alexnet,ReLU-1,1,rect
52,alexnet,ReLU-1,1,rect
53,alexnet,ReLU-1,1,rect
54,alexnet,ReLU-1,1,rect
55,alexnet,ReLU-1,1,rect
56,alexnet,ReLU-1,1,rect
57,alexnet,ReLU-1,1,rect
58,alexnet,ReLU-1,1,rect
59,alexnet,ReLU-1,1,rect
60,alexnet,ReLU-1,0,rect
61,alexnet,ReLU-1,0,rect
62,alexnet,ReLU-1,0,rect
63,alexnet,ReLU-1,1,rect
64,alexnet,ReLU-1,1,rect
65,alexnet,ReLU-1,1,rect
66,alexnet,ReLU-1,0,rect
67,alexnet,ReLU-1,1,rect
68,alexnet,ReLU-1,1,rect
69,alexnet,ReLU-1,0,rect
70,alexnet,ReLU-1,0,rect
71,alexnet,ReLU-1,0,rect
72,alexnet,ReLU-1,0,rect
73,alexnet,ReLU-1,1,rect
74,alexnet,ReLU-1,1,rect
75,alexnet,ReLU-1,1,rect
76,alexnet,ReLU-1,0,rect
77,alexnet,ReLU-1,0,rect
78,alexnet,ReLU-1,1,rect
79,alexnet,ReLU-1,0,rect
80,alexnet,ReLU-1,1,rect
81,alexnet,ReLU-1,1,rect
82,alexnet,ReLU-1,1,rect
83,alexnet,ReLU-1,1,rect
84,alexnet,ReLU-1,1,rect
85,alexnet,ReLU-1,1,rect
86,alexnet,ReLU-1,0,rect
87,alexnet,ReLU-1,0,rect
88,alexnet,ReLU-1,1,rect
89,alexnet,ReLU-1,1,rect
90,alexnet,ReLU-1,1,rect
91,alexnet,ReLU-1,1,rect
92,alexnet,ReLU-1,1,rect
93,alexnet,ReLU-1,1,rect
94,alexnet,ReLU-1,0,rect
95,alexnet,ReLU-1,1,rect
96,alexnet,ReLU-1,1,rect
97,alexnet,ReLU-1,1,rect
98,alexnet,ReLU-1,1,rect
99,alexnet,ReLU-1,1,rect
100,alexnet,ReLU-1,1,rect
101,alexnet,ReLU-1,1,rect
102,alexnet,ReLU-1,0,rect
103,alexnet,ReLU-1,0,rect
104,alexnet,ReLU-1,0,rect
105,alexnet,ReLU-1,0,rect
106,alexnet,ReLU-1,1,rect
107,alexnet,ReLU-1,0,rect
108,alexnet,ReLU-1,1,rect
109,alexnet,ReLU-1,0,rect
110,alexnet,ReLU-1,1,rect
111,alexnet,ReLU-1,0,rect
112,alexnet,ReLU-1,0,rect
113,alexnet,ReLU-1,0,rect
114,alexnet,ReLU-1,0,rect
115,alexnet,ReLU-1,0,rect
116,alexnet,ReLU-1,0,rect
117,alexnet,ReLU-1,0,rect
118,alexnet,ReLU-1,0,rect
119,alexnet,ReLU-1,0,rect
120,alexnet,ReLU-2,1,rect
121,alexnet,ReLU-2,0,rect
122,alexnet,ReLU-2,1,rect
123,alexnet,ReLU-2,1,rect
124,alexnet,ReLU-2,1,rect
125,alexnet,ReLU-2,0,rect
126,alexnet,ReLU-2,0,rect
127,alexnet,ReLU-2,0,rect
128,alexnet,ReLU-2,1,rect
129,alexnet,ReLU-2,0,rect
130,alexnet,ReLU-2,0,rect
131,alexnet,ReLU-2,0,rect
132,alexnet,ReLU-2,0,rect
133,alexnet,ReLU-2,1,rect
134,alexnet,ReLU-2,1,rect
135,alexnet,ReLU-2,1,rect
136,alexnet,ReLU-2,1,rect
137,alexnet,ReLU-2,1,rect
138,alexnet,ReLU-2,1,rect
139,alexnet,ReLU-2,1,rect
140,alexnet,ReLU-2,1,rect
141,alexnet,ReLU-2,1,rect
142,alexnet,ReLU-2,1,rect
143,alexnet,ReLU-2,1,rect
144,alexnet,ReLU-2,1,rect
145,alexnet,ReLU-2,1,rect
146,alexnet,ReLU-2,1,rect
147,alexnet,ReLU-2,1,rect
148,alexnet,ReLU-2,1,rect
149,alexnet,ReLU-2,1,rect
150,alexnet,ReLU-2,1,rect
151,alexnet,ReLU-2,1,rect
152,alexnet,ReLU-2,1,rect
153,alexnet,ReLU-2,1,rect
154,alexnet,ReLU-2,1,rect
155,alexnet,ReLU-2,1,rect
156,alexnet,ReLU-2,1,rect
157,alexnet,ReLU-2,1,rect
158,alexnet,ReLU-2,1,rect
159,alexnet,ReLU-2,1,rect
160,alexnet,ReLU-2,1,rect
161,alexnet,ReLU-2,1,rect
162,alexnet,ReLU-2,1,rect
163,alexnet,ReLU-2,1,rect
164,alexnet,ReLU-2,1,rect
165,alexnet,ReLU-2,1,rect
166,alexnet,ReLU-2,1,rect
167,alexnet,ReLU-2,1,rect
168,alexnet,ReLU-2,1,rect
169,alexnet,ReLU-2,1,rect
170,alexnet,ReLU-2,1,rect
171,alexnet,ReLU-2,1,rect
172,alexnet,ReLU-2,1,rect
173,alexnet,ReLU-2,1,rect
174,alexnet,ReLU-2,1,rect
175,alexnet,ReLU-2,1,rect
176,alexnet,ReLU-2,1,rect
177,alexnet,ReLU-2,1,rect
178,alexnet,ReLU-2,1,rect
179,alexnet,ReLU-2,1,rect
180,alexnet,ReLU-2,1,rect
181,alexnet,ReLU-2,0,rect
182,alexnet,ReLU-2,1,rect
183,alexnet,ReLU-2,1,rect
184,alexnet,ReLU-2,1,rect
185,alexnet,ReLU-2,0,rect
186,alexnet,ReLU-2,1,rect
187,alexnet,ReLU-2,1,rect
188,alexnet,ReLU-2,1,rect
189,alexnet,ReLU-2,1,rect
190,alexnet,ReLU-2,1,rect
191,alexnet,ReLU-2,1,rect
192,alexnet,ReLU-2,1,rect
193,alexnet,ReLU-2,0,rect
194,alexnet,ReLU-2,1,rect
195,alexnet,ReLU-2,1,rect
