,model,layer,accuracy
0,alexnet,ReLU-1,0.75
1,alexnet,ReLU-1,0.75
2,alexnet,ReLU-1,0.75
3,alexnet,ReLU-1,0.75
4,alexnet,ReLU-1,1.0
5,alexnet,ReLU-1,1.0
6,alexnet,ReLU-1,1.0
7,alexnet,ReLU-1,1.0
8,alexnet,ReLU-1,1.0
9,alexnet,ReLU-1,1.0
10,alexnet,ReLU-1,0.75
11,alexnet,ReLU-1,1.0
12,alexnet,ReLU-1,1.0
13,alexnet,ReLU-1,1.0
14,alexnet,ReLU-1,0.75
15,alexnet,ReLU-1,1.0
16,alexnet,ReLU-1,0.75
17,alexnet,ReLU-1,1.0
18,alexnet,ReLU-1,0.75
19,alexnet,ReLU-1,1.0
20,alexnet,ReLU-1,1.0
21,alexnet,ReLU-1,1.0
22,alexnet,ReLU-1,1.0
23,alexnet,ReLU-1,0.75
24,alexnet,ReLU-1,1.0
25,alexnet,ReLU-1,1.0
26,alexnet,ReLU-1,0.75
27,alexnet,ReLU-1,1.0
28,alexnet,ReLU-1,1.0
29,alexnet,ReLU-1,1.0
30,alexnet,ReLU-1,1.0
31,alexnet,ReLU-1,1.0
32,alexnet,ReLU-1,1.0
33,alexnet,ReLU-1,1.0
34,alexnet,ReLU-1,0.75
35,alexnet,ReLU-1,1.0
36,alexnet,ReLU-1,1.0
37,alexnet,ReLU-1,1.0
38,alexnet,ReLU-1,1.0
39,alexnet,ReLU-1,1.0
40,alexnet,ReLU-1,1.0
41,alexnet,ReLU-1,1.0
42,alexnet,ReLU-1,1.0
43,alexnet,ReLU-1,0.75
44,alexnet,ReLU-1,1.0
45,alexnet,ReLU-1,1.0
46,alexnet,ReLU-1,1.0
47,alexnet,ReLU-1,1.0
48,alexnet,ReLU-1,1.0
49,alexnet,ReLU-1,1.0
50,alexnet,ReLU-1,1.0
51,alexnet,ReLU-1,1.0
52,alexnet,ReLU-1,1.0
53,alexnet,ReLU-1,1.0
54,alexnet,ReLU-1,1.0
55,alexnet,ReLU-1,1.0
56,alexnet,ReLU-1,1.0
57,alexnet,ReLU-1,1.0
58,alexnet,ReLU-1,1.0
59,alexnet,ReLU-1,1.0
60,alexnet,ReLU-1,1.0
61,alexnet,ReLU-1,1.0
62,alexnet,ReLU-1,1.0
63,alexnet,ReLU-1,1.0
64,alexnet,ReLU-1,1.0
65,alexnet,ReLU-1,0.75
66,alexnet,ReLU-1,1.0
67,alexnet,ReLU-1,1.0
68,alexnet,ReLU-1,1.0
69,alexnet,ReLU-1,1.0
70,alexnet,ReLU-1,1.0
71,alexnet,ReLU-1,0.75
72,alexnet,ReLU-1,0.75
73,alexnet,ReLU-1,1.0
74,alexnet,ReLU-1,0.75
75,alexnet,ReLU-1,1.0
76,alexnet,ReLU-1,1.0
77,alexnet,ReLU-1,1.0
78,alexnet,ReLU-1,1.0
79,alexnet,ReLU-1,1.0
80,alexnet,ReLU-1,0.75
81,alexnet,ReLU-1,1.0
82,alexnet,ReLU-1,1.0
