,model,layer,accuracy
0,alexnet,ReLU-1,1.0
1,alexnet,ReLU-1,1.0
2,alexnet,ReLU-1,1.0
3,alexnet,ReLU-1,1.0
4,alexnet,ReLU-1,1.0
5,alexnet,ReLU-1,1.0
6,alexnet,ReLU-1,1.0
7,alexnet,ReLU-1,0.6666666666666666
8,alexnet,ReLU-1,1.0
9,alexnet,ReLU-1,1.0
10,alexnet,ReLU-1,1.0
11,alexnet,ReLU-1,1.0
12,alexnet,ReLU-1,1.0
13,alexnet,ReLU-1,0.6666666666666666
14,alexnet,ReLU-1,1.0
15,alexnet,ReLU-1,1.0
16,alexnet,ReLU-1,0.6666666666666666
17,alexnet,ReLU-1,1.0
18,alexnet,ReLU-1,0.6666666666666666
19,alexnet,ReLU-1,0.6666666666666666
20,alexnet,ReLU-1,1.0
21,alexnet,ReLU-1,0.3333333333333333
22,alexnet,ReLU-1,0.3333333333333333
23,alexnet,ReLU-1,1.0
24,alexnet,ReLU-1,0.6666666666666666
25,alexnet,ReLU-1,0.6666666666666666
26,alexnet,ReLU-1,1.0
27,alexnet,ReLU-1,0.6666666666666666
28,alexnet,ReLU-1,1.0
29,alexnet,ReLU-1,0.3333333333333333
30,alexnet,ReLU-1,1.0
31,alexnet,ReLU-1,1.0
32,alexnet,ReLU-1,0.6666666666666666
33,alexnet,ReLU-1,1.0
34,alexnet,ReLU-1,1.0
35,alexnet,ReLU-1,1.0
36,alexnet,ReLU-1,1.0
37,alexnet,ReLU-1,0.3333333333333333
38,alexnet,ReLU-1,1.0
39,alexnet,ReLU-1,1.0
40,alexnet,ReLU-1,1.0
41,alexnet,ReLU-1,0.6666666666666666
42,alexnet,ReLU-1,1.0
43,alexnet,ReLU-1,1.0
44,alexnet,ReLU-1,1.0
45,alexnet,ReLU-1,1.0
46,alexnet,ReLU-1,1.0
47,alexnet,ReLU-1,0.6666666666666666
48,alexnet,ReLU-1,1.0
49,alexnet,ReLU-1,1.0
50,alexnet,ReLU-1,1.0
51,alexnet,ReLU-1,1.0
52,alexnet,ReLU-1,1.0
53,alexnet,ReLU-1,1.0
54,alexnet,ReLU-1,1.0
55,alexnet,ReLU-1,1.0
56,alexnet,ReLU-1,0.6666666666666666
57,alexnet,ReLU-1,0.6666666666666666
58,alexnet,ReLU-1,1.0
59,alexnet,ReLU-1,1.0
60,alexnet,ReLU-2,1.0
61,alexnet,ReLU-2,1.0
62,alexnet,ReLU-2,1.0
63,alexnet,ReLU-2,1.0
64,alexnet,ReLU-2,1.0
65,alexnet,ReLU-2,1.0
66,alexnet,ReLU-2,1.0
67,alexnet,ReLU-2,1.0
68,alexnet,ReLU-2,1.0
69,alexnet,ReLU-2,1.0
70,alexnet,ReLU-2,1.0
71,alexnet,ReLU-2,1.0
72,alexnet,ReLU-2,1.0
73,alexnet,ReLU-2,1.0
74,alexnet,ReLU-2,1.0
75,alexnet,ReLU-2,1.0
76,alexnet,ReLU-2,1.0
77,alexnet,ReLU-2,1.0
78,alexnet,ReLU-2,1.0
79,alexnet,ReLU-2,1.0
80,alexnet,ReLU-2,1.0
81,alexnet,ReLU-2,1.0
82,alexnet,ReLU-2,1.0
83,alexnet,ReLU-2,1.0
84,alexnet,ReLU-2,1.0
85,alexnet,ReLU-2,0.3333333333333333
86,alexnet,ReLU-2,1.0
87,alexnet,ReLU-2,1.0
88,alexnet,ReLU-2,1.0
89,alexnet,ReLU-2,1.0
90,alexnet,ReLU-2,1.0
91,alexnet,ReLU-2,1.0
92,alexnet,ReLU-2,1.0
93,alexnet,ReLU-2,1.0
94,alexnet,ReLU-2,1.0
95,alexnet,ReLU-2,1.0
96,alexnet,ReLU-2,0.6666666666666666
97,alexnet,ReLU-2,1.0
98,alexnet,ReLU-2,1.0
99,alexnet,ReLU-2,1.0
100,alexnet,ReLU-2,1.0
101,alexnet,ReLU-2,1.0
102,alexnet,ReLU-2,1.0
103,alexnet,ReLU-2,1.0
104,alexnet,ReLU-2,1.0
105,alexnet,ReLU-2,1.0
106,alexnet,ReLU-2,1.0
107,alexnet,ReLU-2,1.0
108,alexnet,ReLU-2,0.6666666666666666
109,alexnet,ReLU-2,1.0
110,alexnet,ReLU-2,1.0
111,alexnet,ReLU-2,1.0
112,alexnet,ReLU-2,1.0
113,alexnet,ReLU-2,1.0
114,alexnet,ReLU-2,1.0
115,alexnet,ReLU-2,1.0
116,alexnet,ReLU-2,1.0
117,alexnet,ReLU-2,1.0
118,alexnet,ReLU-2,0.6666666666666666
119,alexnet,ReLU-2,1.0
120,alexnet,ReLU-3,1.0
121,alexnet,ReLU-3,1.0
122,alexnet,ReLU-3,1.0
123,alexnet,ReLU-3,1.0
124,alexnet,ReLU-3,1.0
125,alexnet,ReLU-3,1.0
126,alexnet,ReLU-3,1.0
127,alexnet,ReLU-3,1.0
128,alexnet,ReLU-3,0.6666666666666666
129,alexnet,ReLU-3,1.0
130,alexnet,ReLU-3,0.6666666666666666
131,alexnet,ReLU-3,1.0
132,alexnet,ReLU-3,0.6666666666666666
133,alexnet,ReLU-3,0.6666666666666666
134,alexnet,ReLU-3,0.6666666666666666
135,alexnet,ReLU-3,0.6666666666666666
136,alexnet,ReLU-3,1.0
137,alexnet,ReLU-3,1.0
138,alexnet,ReLU-3,1.0
139,alexnet,ReLU-3,0.6666666666666666
140,alexnet,ReLU-3,0.6666666666666666
141,alexnet,ReLU-3,1.0
142,alexnet,ReLU-3,1.0
143,alexnet,ReLU-3,1.0
144,alexnet,ReLU-3,1.0
145,alexnet,ReLU-3,1.0
146,alexnet,ReLU-3,1.0
147,alexnet,ReLU-3,1.0
148,alexnet,ReLU-3,1.0
149,alexnet,ReLU-3,1.0
150,alexnet,ReLU-3,1.0
151,alexnet,ReLU-3,1.0
152,alexnet,ReLU-3,1.0
153,alexnet,ReLU-3,1.0
154,alexnet,ReLU-3,1.0
155,alexnet,ReLU-3,1.0
156,alexnet,ReLU-3,1.0
157,alexnet,ReLU-3,0.6666666666666666
158,alexnet,ReLU-3,1.0
159,alexnet,ReLU-3,1.0
160,alexnet,ReLU-3,1.0
161,alexnet,ReLU-3,0.6666666666666666
162,alexnet,ReLU-3,1.0
163,alexnet,ReLU-3,1.0
164,alexnet,ReLU-3,1.0
165,alexnet,ReLU-3,1.0
166,alexnet,ReLU-3,1.0
167,alexnet,ReLU-3,1.0
168,alexnet,ReLU-3,1.0
169,alexnet,ReLU-3,1.0
170,alexnet,ReLU-3,1.0
171,alexnet,ReLU-3,1.0
172,alexnet,ReLU-3,1.0
173,alexnet,ReLU-3,1.0
174,alexnet,ReLU-3,1.0
175,alexnet,ReLU-3,1.0
176,alexnet,ReLU-3,1.0
177,alexnet,ReLU-3,1.0
178,alexnet,ReLU-3,0.6666666666666666
179,alexnet,ReLU-3,1.0
180,alexnet,ReLU-4,1.0
181,alexnet,ReLU-4,1.0
182,alexnet,ReLU-4,1.0
183,alexnet,ReLU-4,1.0
184,alexnet,ReLU-4,1.0
185,alexnet,ReLU-4,1.0
186,alexnet,ReLU-4,1.0
187,alexnet,ReLU-4,1.0
188,alexnet,ReLU-4,1.0
189,alexnet,ReLU-4,1.0
190,alexnet,ReLU-4,1.0
191,alexnet,ReLU-4,1.0
192,alexnet,ReLU-4,1.0
193,alexnet,ReLU-4,1.0
194,alexnet,ReLU-4,1.0
195,alexnet,ReLU-4,1.0
196,alexnet,ReLU-4,1.0
197,alexnet,ReLU-4,1.0
198,alexnet,ReLU-4,1.0
199,alexnet,ReLU-4,1.0
200,alexnet,ReLU-4,1.0
201,alexnet,ReLU-4,1.0
202,alexnet,ReLU-4,1.0
203,alexnet,ReLU-4,1.0
204,alexnet,ReLU-4,1.0
205,alexnet,ReLU-4,1.0
206,alexnet,ReLU-4,1.0
207,alexnet,ReLU-4,1.0
208,alexnet,ReLU-4,1.0
209,alexnet,ReLU-4,1.0
210,alexnet,ReLU-4,1.0
211,alexnet,ReLU-4,1.0
212,alexnet,ReLU-4,1.0
213,alexnet,ReLU-4,1.0
214,alexnet,ReLU-4,1.0
215,alexnet,ReLU-4,1.0
216,alexnet,ReLU-4,1.0
217,alexnet,ReLU-4,1.0
218,alexnet,ReLU-4,1.0
219,alexnet,ReLU-4,0.6666666666666666
