,model,layer,accuracy
0,alexnet,ReLU-1,0.25
1,alexnet,ReLU-1,0.0
2,alexnet,ReLU-1,0.0
3,alexnet,ReLU-1,0.25
4,alexnet,ReLU-1,0.25
5,alexnet,ReLU-1,0.25
6,alexnet,ReLU-1,0.25
7,alexnet,ReLU-1,0.25
8,alexnet,ReLU-1,0.5
9,alexnet,ReLU-1,0.25
10,alexnet,ReLU-1,0.5
11,alexnet,ReLU-1,0.5
12,alexnet,ReLU-1,0.5
13,alexnet,ReLU-1,0.25
14,alexnet,ReLU-1,0.25
15,alexnet,ReLU-1,0.75
16,alexnet,ReLU-1,0.75
17,alexnet,ReLU-1,0.75
18,alexnet,ReLU-1,0.5
19,alexnet,ReLU-1,1.0
20,alexnet,ReLU-1,1.0
21,alexnet,ReLU-1,0.75
22,alexnet,ReLU-1,0.5
23,alexnet,ReLU-1,0.75
24,alexnet,ReLU-1,1.0
25,alexnet,ReLU-1,0.75
26,alexnet,ReLU-1,0.75
27,alexnet,ReLU-1,0.5
28,alexnet,ReLU-1,1.0
29,alexnet,ReLU-1,1.0
30,alexnet,ReLU-1,0.75
31,alexnet,ReLU-1,0.75
32,alexnet,ReLU-1,1.0
33,alexnet,ReLU-1,1.0
34,alexnet,ReLU-1,1.0
35,alexnet,ReLU-1,1.0
36,alexnet,ReLU-1,1.0
37,alexnet,ReLU-1,1.0
38,alexnet,ReLU-1,0.75
39,alexnet,ReLU-1,0.75
40,alexnet,ReLU-1,1.0
41,alexnet,ReLU-1,0.75
42,alexnet,ReLU-1,1.0
43,alexnet,ReLU-1,1.0
44,alexnet,ReLU-1,0.75
45,alexnet,ReLU-1,0.5
46,alexnet,ReLU-1,0.75
47,alexnet,ReLU-1,0.25
48,alexnet,ReLU-1,0.25
49,alexnet,ReLU-1,0.5
50,alexnet,ReLU-1,0.5
51,alexnet,ReLU-1,0.5
52,alexnet,ReLU-1,0.5
53,alexnet,ReLU-1,0.5
54,alexnet,ReLU-1,0.5
55,alexnet,ReLU-1,0.5
56,alexnet,ReLU-1,0.5
57,alexnet,ReLU-1,0.75
58,alexnet,ReLU-1,0.25
59,alexnet,ReLU-1,0.5
60,alexnet,ReLU-1,0.75
61,alexnet,ReLU-1,0.25
62,alexnet,ReLU-1,0.75
63,alexnet,ReLU-1,0.75
64,alexnet,ReLU-1,0.5
65,alexnet,ReLU-1,0.5
66,alexnet,ReLU-1,1.0
67,alexnet,ReLU-1,0.75
68,alexnet,ReLU-1,0.5
69,alexnet,ReLU-1,1.0
70,alexnet,ReLU-1,1.0
71,alexnet,ReLU-1,1.0
72,alexnet,ReLU-1,1.0
73,alexnet,ReLU-1,0.5
74,alexnet,ReLU-1,1.0
75,alexnet,ReLU-1,0.0
76,alexnet,ReLU-1,0.25
77,alexnet,ReLU-1,0.25
78,alexnet,ReLU-1,0.25
79,alexnet,ReLU-1,0.25
80,alexnet,ReLU-1,0.25
81,alexnet,ReLU-1,0.25
82,alexnet,ReLU-1,0.0
83,alexnet,ReLU-1,0.5
84,alexnet,ReLU-1,0.25
85,alexnet,ReLU-1,0.25
86,alexnet,ReLU-1,0.25
87,alexnet,ReLU-1,0.25
88,alexnet,ReLU-1,0.0
89,alexnet,ReLU-1,0.5
90,alexnet,ReLU-2,1.0
91,alexnet,ReLU-2,0.75
92,alexnet,ReLU-2,1.0
93,alexnet,ReLU-2,0.75
94,alexnet,ReLU-2,0.5
95,alexnet,ReLU-2,1.0
96,alexnet,ReLU-2,0.5
97,alexnet,ReLU-2,0.75
98,alexnet,ReLU-2,1.0
99,alexnet,ReLU-2,1.0
100,alexnet,ReLU-2,0.75
101,alexnet,ReLU-2,0.75
102,alexnet,ReLU-2,1.0
103,alexnet,ReLU-2,1.0
104,alexnet,ReLU-2,0.75
105,alexnet,ReLU-2,1.0
106,alexnet,ReLU-2,0.75
107,alexnet,ReLU-2,1.0
108,alexnet,ReLU-2,1.0
109,alexnet,ReLU-2,1.0
110,alexnet,ReLU-2,1.0
111,alexnet,ReLU-2,1.0
112,alexnet,ReLU-2,0.75
113,alexnet,ReLU-2,0.75
114,alexnet,ReLU-2,1.0
115,alexnet,ReLU-2,1.0
116,alexnet,ReLU-2,1.0
117,alexnet,ReLU-2,1.0
118,alexnet,ReLU-2,1.0
119,alexnet,ReLU-2,1.0
120,alexnet,ReLU-2,1.0
121,alexnet,ReLU-2,1.0
122,alexnet,ReLU-2,1.0
123,alexnet,ReLU-2,1.0
124,alexnet,ReLU-2,1.0
125,alexnet,ReLU-2,1.0
126,alexnet,ReLU-2,0.75
127,alexnet,ReLU-2,1.0
128,alexnet,ReLU-2,1.0
129,alexnet,ReLU-2,1.0
130,alexnet,ReLU-2,1.0
131,alexnet,ReLU-2,1.0
132,alexnet,ReLU-2,1.0
133,alexnet,ReLU-2,0.75
134,alexnet,ReLU-2,0.75
135,alexnet,ReLU-2,1.0
136,alexnet,ReLU-2,0.75
137,alexnet,ReLU-2,1.0
138,alexnet,ReLU-2,1.0
139,alexnet,ReLU-2,0.5
140,alexnet,ReLU-2,1.0
141,alexnet,ReLU-2,0.75
142,alexnet,ReLU-2,1.0
143,alexnet,ReLU-2,1.0
144,alexnet,ReLU-2,1.0
145,alexnet,ReLU-2,0.5
146,alexnet,ReLU-2,0.75
147,alexnet,ReLU-2,1.0
148,alexnet,ReLU-2,0.5
149,alexnet,ReLU-2,1.0
150,alexnet,ReLU-2,0.75
151,alexnet,ReLU-2,1.0
152,alexnet,ReLU-2,1.0
153,alexnet,ReLU-2,1.0
154,alexnet,ReLU-2,0.75
155,alexnet,ReLU-2,0.75
156,alexnet,ReLU-2,0.75
157,alexnet,ReLU-2,1.0
158,alexnet,ReLU-2,1.0
159,alexnet,ReLU-2,1.0
160,alexnet,ReLU-2,1.0
161,alexnet,ReLU-2,1.0
162,alexnet,ReLU-2,0.75
163,alexnet,ReLU-2,1.0
164,alexnet,ReLU-2,1.0
165,alexnet,ReLU-2,0.75
166,alexnet,ReLU-2,0.25
167,alexnet,ReLU-2,0.5
168,alexnet,ReLU-2,0.75
169,alexnet,ReLU-2,0.75
170,alexnet,ReLU-2,0.5
171,alexnet,ReLU-2,0.75
172,alexnet,ReLU-2,0.25
173,alexnet,ReLU-2,0.5
174,alexnet,ReLU-2,0.5
175,alexnet,ReLU-2,0.75
176,alexnet,ReLU-2,0.75
177,alexnet,ReLU-2,1.0
178,alexnet,ReLU-2,0.5
179,alexnet,ReLU-2,0.75
180,alexnet,ReLU-3,1.0
181,alexnet,ReLU-3,1.0
182,alexnet,ReLU-3,0.75
183,alexnet,ReLU-3,1.0
184,alexnet,ReLU-3,0.5
185,alexnet,ReLU-3,0.5
186,alexnet,ReLU-3,1.0
187,alexnet,ReLU-3,1.0
188,alexnet,ReLU-3,1.0
189,alexnet,ReLU-3,1.0
190,alexnet,ReLU-3,1.0
191,alexnet,ReLU-3,1.0
192,alexnet,ReLU-3,1.0
193,alexnet,ReLU-3,1.0
194,alexnet,ReLU-3,0.75
195,alexnet,ReLU-3,1.0
196,alexnet,ReLU-3,1.0
197,alexnet,ReLU-3,1.0
198,alexnet,ReLU-3,1.0
199,alexnet,ReLU-3,1.0
200,alexnet,ReLU-3,1.0
201,alexnet,ReLU-3,1.0
202,alexnet,ReLU-3,1.0
203,alexnet,ReLU-3,1.0
204,alexnet,ReLU-3,1.0
205,alexnet,ReLU-3,1.0
206,alexnet,ReLU-3,1.0
207,alexnet,ReLU-3,1.0
208,alexnet,ReLU-3,1.0
209,alexnet,ReLU-3,1.0
210,alexnet,ReLU-3,1.0
211,alexnet,ReLU-3,1.0
212,alexnet,ReLU-3,1.0
213,alexnet,ReLU-3,1.0
214,alexnet,ReLU-3,1.0
215,alexnet,ReLU-3,1.0
216,alexnet,ReLU-3,1.0
217,alexnet,ReLU-3,1.0
218,alexnet,ReLU-3,1.0
219,alexnet,ReLU-3,1.0
220,alexnet,ReLU-3,1.0
221,alexnet,ReLU-3,1.0
222,alexnet,ReLU-3,1.0
223,alexnet,ReLU-3,1.0
224,alexnet,ReLU-3,1.0
225,alexnet,ReLU-3,0.75
226,alexnet,ReLU-3,1.0
227,alexnet,ReLU-3,1.0
228,alexnet,ReLU-3,1.0
229,alexnet,ReLU-3,1.0
230,alexnet,ReLU-3,0.75
231,alexnet,ReLU-3,1.0
232,alexnet,ReLU-3,0.75
233,alexnet,ReLU-3,1.0
234,alexnet,ReLU-3,1.0
235,alexnet,ReLU-3,1.0
236,alexnet,ReLU-3,0.75
237,alexnet,ReLU-3,1.0
238,alexnet,ReLU-3,1.0
239,alexnet,ReLU-3,0.75
240,alexnet,ReLU-3,1.0
241,alexnet,ReLU-3,0.75
242,alexnet,ReLU-3,1.0
243,alexnet,ReLU-3,1.0
244,alexnet,ReLU-3,0.75
245,alexnet,ReLU-3,1.0
246,alexnet,ReLU-3,1.0
247,alexnet,ReLU-3,0.75
248,alexnet,ReLU-3,1.0
249,alexnet,ReLU-3,1.0
250,alexnet,ReLU-3,1.0
251,alexnet,ReLU-3,1.0
252,alexnet,ReLU-3,1.0
253,alexnet,ReLU-3,1.0
254,alexnet,ReLU-3,1.0
255,alexnet,ReLU-3,1.0
256,alexnet,ReLU-3,0.75
257,alexnet,ReLU-3,0.75
258,alexnet,ReLU-3,0.75
259,alexnet,ReLU-3,1.0
260,alexnet,ReLU-3,1.0
261,alexnet,ReLU-3,0.75
262,alexnet,ReLU-3,0.75
263,alexnet,ReLU-3,1.0
264,alexnet,ReLU-3,1.0
265,alexnet,ReLU-3,0.75
266,alexnet,ReLU-3,0.75
267,alexnet,ReLU-3,1.0
268,alexnet,ReLU-3,1.0
269,alexnet,ReLU-3,1.0
270,alexnet,ReLU-4,1.0
271,alexnet,ReLU-4,1.0
272,alexnet,ReLU-4,0.5
273,alexnet,ReLU-4,1.0
274,alexnet,ReLU-4,1.0
275,alexnet,ReLU-4,1.0
276,alexnet,ReLU-4,1.0
277,alexnet,ReLU-4,1.0
278,alexnet,ReLU-4,1.0
279,alexnet,ReLU-4,1.0
280,alexnet,ReLU-4,0.75
281,alexnet,ReLU-4,1.0
