,model,layer,accuracy
0,alexnet,ReLU-1,0.25
1,alexnet,ReLU-1,0.0
2,alexnet,ReLU-1,0.0
3,alexnet,ReLU-1,0.0
4,alexnet,ReLU-1,0.0
5,alexnet,ReLU-1,0.25
6,alexnet,ReLU-1,0.0
7,alexnet,ReLU-1,0.25
8,alexnet,ReLU-1,0.0
9,alexnet,ReLU-1,0.0
10,alexnet,ReLU-1,0.0
11,alexnet,ReLU-1,0.25
12,alexnet,ReLU-1,0.0
13,alexnet,ReLU-1,0.25
14,alexnet,ReLU-1,0.0
15,alexnet,ReLU-1,0.0
16,alexnet,ReLU-1,0.25
17,alexnet,ReLU-1,0.0
18,alexnet,ReLU-1,0.0
19,alexnet,ReLU-1,0.0
20,alexnet,ReLU-1,0.0
21,alexnet,ReLU-1,0.25
22,alexnet,ReLU-1,0.25
23,alexnet,ReLU-1,0.0
24,alexnet,ReLU-1,0.0
25,alexnet,ReLU-1,0.0
26,alexnet,ReLU-1,0.0
27,alexnet,ReLU-1,0.0
28,alexnet,ReLU-1,0.0
29,alexnet,ReLU-1,0.0
30,alexnet,ReLU-1,0.25
31,alexnet,ReLU-1,0.0
32,alexnet,ReLU-1,0.0
33,alexnet,ReLU-1,0.0
34,alexnet,ReLU-1,0.25
35,alexnet,ReLU-1,0.0
36,alexnet,ReLU-1,0.25
37,alexnet,ReLU-1,0.0
38,alexnet,ReLU-1,0.0
39,alexnet,ReLU-1,0.0
40,alexnet,ReLU-1,0.0
41,alexnet,ReLU-1,0.0
42,alexnet,ReLU-1,0.0
43,alexnet,ReLU-1,0.0
44,alexnet,ReLU-1,0.25
45,alexnet,ReLU-1,0.0
46,alexnet,ReLU-1,0.0
47,alexnet,ReLU-1,0.0
48,alexnet,ReLU-1,0.0
49,alexnet,ReLU-1,0.0
50,alexnet,ReLU-1,0.0
51,alexnet,ReLU-1,0.0
52,alexnet,ReLU-1,0.0
53,alexnet,ReLU-1,0.25
54,alexnet,ReLU-1,0.0
55,alexnet,ReLU-1,0.25
56,alexnet,ReLU-1,0.0
57,alexnet,ReLU-1,0.0
58,alexnet,ReLU-1,0.0
59,alexnet,ReLU-1,0.0
60,alexnet,ReLU-1,0.0
61,alexnet,ReLU-1,0.25
62,alexnet,ReLU-1,0.25
63,alexnet,ReLU-1,0.0
64,alexnet,ReLU-1,0.25
65,alexnet,ReLU-1,0.25
66,alexnet,ReLU-1,0.0
67,alexnet,ReLU-1,0.0
68,alexnet,ReLU-1,0.25
69,alexnet,ReLU-1,0.0
70,alexnet,ReLU-1,0.0
71,alexnet,ReLU-1,0.0
72,alexnet,ReLU-1,0.0
73,alexnet,ReLU-1,0.0
74,alexnet,ReLU-1,0.0
75,alexnet,ReLU-1,0.0
76,alexnet,ReLU-1,0.0
77,alexnet,ReLU-1,0.0
78,alexnet,ReLU-1,0.0
79,alexnet,ReLU-1,0.0
80,alexnet,ReLU-1,0.25
81,alexnet,ReLU-1,0.0
82,alexnet,ReLU-1,0.0
83,alexnet,ReLU-1,0.25
84,alexnet,ReLU-1,0.0
85,alexnet,ReLU-1,0.0
86,alexnet,ReLU-1,0.25
87,alexnet,ReLU-1,0.0
88,alexnet,ReLU-1,0.0
89,alexnet,ReLU-1,0.25
90,alexnet,ReLU-2,0.75
91,alexnet,ReLU-2,0.75
92,alexnet,ReLU-2,0.5
93,alexnet,ReLU-2,0.75
94,alexnet,ReLU-2,0.5
95,alexnet,ReLU-2,0.5
96,alexnet,ReLU-2,0.25
97,alexnet,ReLU-2,1.0
98,alexnet,ReLU-2,0.5
99,alexnet,ReLU-2,0.5
100,alexnet,ReLU-2,0.75
101,alexnet,ReLU-2,0.75
102,alexnet,ReLU-2,0.5
103,alexnet,ReLU-2,0.5
104,alexnet,ReLU-2,0.75
105,alexnet,ReLU-2,1.0
106,alexnet,ReLU-2,0.75
107,alexnet,ReLU-2,0.75
108,alexnet,ReLU-2,1.0
109,alexnet,ReLU-2,0.75
110,alexnet,ReLU-2,0.5
111,alexnet,ReLU-2,1.0
112,alexnet,ReLU-2,0.75
113,alexnet,ReLU-2,0.75
114,alexnet,ReLU-2,0.75
115,alexnet,ReLU-2,1.0
116,alexnet,ReLU-2,0.75
117,alexnet,ReLU-2,1.0
118,alexnet,ReLU-2,1.0
119,alexnet,ReLU-2,0.75
120,alexnet,ReLU-2,0.75
121,alexnet,ReLU-2,0.5
122,alexnet,ReLU-2,1.0
123,alexnet,ReLU-2,0.75
124,alexnet,ReLU-2,0.75
125,alexnet,ReLU-2,0.75
126,alexnet,ReLU-2,0.5
127,alexnet,ReLU-2,0.75
128,alexnet,ReLU-2,1.0
129,alexnet,ReLU-2,0.75
130,alexnet,ReLU-2,1.0
131,alexnet,ReLU-2,1.0
132,alexnet,ReLU-2,1.0
133,alexnet,ReLU-2,1.0
134,alexnet,ReLU-2,0.75
135,alexnet,ReLU-2,0.75
136,alexnet,ReLU-2,1.0
137,alexnet,ReLU-2,0.75
138,alexnet,ReLU-2,0.5
139,alexnet,ReLU-2,1.0
140,alexnet,ReLU-2,0.5
141,alexnet,ReLU-2,0.25
142,alexnet,ReLU-2,1.0
143,alexnet,ReLU-2,0.5
144,alexnet,ReLU-2,0.75
145,alexnet,ReLU-2,0.75
146,alexnet,ReLU-2,0.75
147,alexnet,ReLU-2,1.0
148,alexnet,ReLU-2,0.5
149,alexnet,ReLU-2,0.25
150,alexnet,ReLU-2,1.0
151,alexnet,ReLU-2,0.75
152,alexnet,ReLU-2,1.0
153,alexnet,ReLU-2,1.0
154,alexnet,ReLU-2,1.0
155,alexnet,ReLU-2,0.75
156,alexnet,ReLU-2,0.75
157,alexnet,ReLU-2,0.5
158,alexnet,ReLU-2,0.5
159,alexnet,ReLU-2,1.0
160,alexnet,ReLU-2,1.0
161,alexnet,ReLU-2,0.5
162,alexnet,ReLU-2,0.75
163,alexnet,ReLU-2,1.0
164,alexnet,ReLU-2,0.5
165,alexnet,ReLU-2,1.0
166,alexnet,ReLU-2,1.0
167,alexnet,ReLU-2,0.75
168,alexnet,ReLU-2,1.0
169,alexnet,ReLU-2,1.0
170,alexnet,ReLU-2,0.75
171,alexnet,ReLU-2,1.0
172,alexnet,ReLU-2,0.75
173,alexnet,ReLU-2,1.0
174,alexnet,ReLU-2,0.5
175,alexnet,ReLU-2,1.0
176,alexnet,ReLU-2,1.0
177,alexnet,ReLU-2,1.0
178,alexnet,ReLU-2,1.0
179,alexnet,ReLU-2,1.0
180,alexnet,ReLU-3,1.0
181,alexnet,ReLU-3,0.75
182,alexnet,ReLU-3,1.0
183,alexnet,ReLU-3,1.0
184,alexnet,ReLU-3,1.0
185,alexnet,ReLU-3,1.0
186,alexnet,ReLU-3,1.0
187,alexnet,ReLU-3,1.0
188,alexnet,ReLU-3,1.0
189,alexnet,ReLU-3,1.0
190,alexnet,ReLU-3,1.0
191,alexnet,ReLU-3,1.0
192,alexnet,ReLU-3,1.0
193,alexnet,ReLU-3,1.0
194,alexnet,ReLU-3,0.75
195,alexnet,ReLU-3,1.0
196,alexnet,ReLU-3,1.0
197,alexnet,ReLU-3,0.75
198,alexnet,ReLU-3,1.0
199,alexnet,ReLU-3,1.0
200,alexnet,ReLU-3,0.75
201,alexnet,ReLU-3,0.75
202,alexnet,ReLU-3,1.0
203,alexnet,ReLU-3,1.0
204,alexnet,ReLU-3,1.0
205,alexnet,ReLU-3,1.0
206,alexnet,ReLU-3,1.0
207,alexnet,ReLU-3,1.0
208,alexnet,ReLU-3,1.0
209,alexnet,ReLU-3,0.75
210,alexnet,ReLU-3,1.0
211,alexnet,ReLU-3,1.0
212,alexnet,ReLU-3,0.75
213,alexnet,ReLU-3,1.0
214,alexnet,ReLU-3,1.0
215,alexnet,ReLU-3,1.0
216,alexnet,ReLU-3,1.0
217,alexnet,ReLU-3,1.0
218,alexnet,ReLU-3,1.0
219,alexnet,ReLU-3,1.0
220,alexnet,ReLU-3,1.0
221,alexnet,ReLU-3,1.0
222,alexnet,ReLU-3,1.0
223,alexnet,ReLU-3,1.0
224,alexnet,ReLU-3,0.75
225,alexnet,ReLU-3,1.0
226,alexnet,ReLU-3,1.0
227,alexnet,ReLU-3,1.0
228,alexnet,ReLU-3,1.0
229,alexnet,ReLU-3,1.0
230,alexnet,ReLU-3,1.0
231,alexnet,ReLU-3,1.0
232,alexnet,ReLU-3,1.0
233,alexnet,ReLU-3,1.0
234,alexnet,ReLU-3,0.75
235,alexnet,ReLU-3,1.0
236,alexnet,ReLU-3,1.0
237,alexnet,ReLU-3,1.0
238,alexnet,ReLU-3,1.0
239,alexnet,ReLU-3,1.0
240,alexnet,ReLU-3,1.0
241,alexnet,ReLU-3,1.0
242,alexnet,ReLU-3,1.0
243,alexnet,ReLU-3,1.0
244,alexnet,ReLU-3,1.0
245,alexnet,ReLU-3,1.0
246,alexnet,ReLU-3,1.0
247,alexnet,ReLU-3,1.0
248,alexnet,ReLU-3,1.0
249,alexnet,ReLU-3,1.0
250,alexnet,ReLU-3,1.0
251,alexnet,ReLU-3,1.0
252,alexnet,ReLU-3,0.75
253,alexnet,ReLU-3,1.0
254,alexnet,ReLU-3,1.0
255,alexnet,ReLU-3,1.0
256,alexnet,ReLU-3,1.0
257,alexnet,ReLU-3,1.0
258,alexnet,ReLU-3,1.0
259,alexnet,ReLU-3,0.75
260,alexnet,ReLU-3,1.0
261,alexnet,ReLU-3,1.0
262,alexnet,ReLU-3,1.0
263,alexnet,ReLU-3,1.0
264,alexnet,ReLU-3,1.0
265,alexnet,ReLU-3,0.75
266,alexnet,ReLU-3,1.0
267,alexnet,ReLU-3,1.0
268,alexnet,ReLU-3,1.0
269,alexnet,ReLU-3,1.0
270,alexnet,ReLU-4,1.0
271,alexnet,ReLU-4,0.75
272,alexnet,ReLU-4,1.0
273,alexnet,ReLU-4,0.75
274,alexnet,ReLU-4,1.0
275,alexnet,ReLU-4,0.75
276,alexnet,ReLU-4,0.75
277,alexnet,ReLU-4,0.75
278,alexnet,ReLU-4,0.75
279,alexnet,ReLU-4,1.0
280,alexnet,ReLU-4,1.0
281,alexnet,ReLU-4,1.0
