,model,layer,accuracy
82,alexnet,ReLU-1,0.0
83,alexnet,ReLU-1,0.0
84,alexnet,ReLU-1,0.25
85,alexnet,ReLU-1,0.25
86,alexnet,ReLU-1,0.0
87,alexnet,ReLU-1,0.25
88,alexnet,ReLU-1,0.0
89,alexnet,ReLU-1,0.25
90,alexnet,ReLU-1,0.0
91,alexnet,ReLU-1,0.25
92,alexnet,ReLU-1,0.0
93,alexnet,ReLU-1,0.0
94,alexnet,ReLU-1,0.0
95,alexnet,ReLU-1,0.25
96,alexnet,ReLU-1,0.0
97,alexnet,ReLU-1,0.0
98,alexnet,ReLU-1,0.0
99,alexnet,ReLU-1,0.0
100,alexnet,ReLU-1,0.0
101,alexnet,ReLU-1,0.0
102,alexnet,ReLU-1,0.0
103,alexnet,ReLU-1,0.0
104,alexnet,ReLU-1,0.0
105,alexnet,ReLU-1,0.0
106,alexnet,ReLU-1,0.0
107,alexnet,ReLU-1,0.0
108,alexnet,ReLU-1,0.0
109,alexnet,ReLU-1,0.0
110,alexnet,ReLU-1,0.25
111,alexnet,ReLU-1,0.0
112,alexnet,ReLU-1,0.5
113,alexnet,ReLU-1,0.0
114,alexnet,ReLU-1,0.0
115,alexnet,ReLU-1,0.0
116,alexnet,ReLU-1,0.0
117,alexnet,ReLU-1,0.25
118,alexnet,ReLU-1,0.0
119,alexnet,ReLU-1,0.25
120,alexnet,ReLU-2,0.75
121,alexnet,ReLU-2,0.25
122,alexnet,ReLU-2,0.5
123,alexnet,ReLU-2,0.5
124,alexnet,ReLU-2,0.75
125,alexnet,ReLU-2,1.0
126,alexnet,ReLU-2,0.75
127,alexnet,ReLU-2,0.75
128,alexnet,ReLU-2,0.0
129,alexnet,ReLU-2,0.75
130,alexnet,ReLU-2,1.0
131,alexnet,ReLU-2,0.5
132,alexnet,ReLU-2,0.5
133,alexnet,ReLU-2,0.5
134,alexnet,ReLU-2,0.25
135,alexnet,ReLU-2,0.75
136,alexnet,ReLU-2,0.75
137,alexnet,ReLU-2,0.75
138,alexnet,ReLU-2,0.75
139,alexnet,ReLU-2,0.5
140,alexnet,ReLU-2,1.0
141,alexnet,ReLU-2,0.75
142,alexnet,ReLU-2,1.0
143,alexnet,ReLU-2,1.0
144,alexnet,ReLU-2,0.75
145,alexnet,ReLU-2,1.0
146,alexnet,ReLU-2,1.0
147,alexnet,ReLU-2,0.75
148,alexnet,ReLU-2,0.5
149,alexnet,ReLU-2,0.75
150,alexnet,ReLU-2,1.0
151,alexnet,ReLU-2,1.0
152,alexnet,ReLU-2,1.0
153,alexnet,ReLU-2,0.5
154,alexnet,ReLU-2,1.0
155,alexnet,ReLU-2,0.5
156,alexnet,ReLU-2,1.0
157,alexnet,ReLU-2,0.75
158,alexnet,ReLU-2,1.0
159,alexnet,ReLU-2,0.75
160,alexnet,ReLU-2,1.0
161,alexnet,ReLU-2,0.75
162,alexnet,ReLU-2,0.75
163,alexnet,ReLU-2,1.0
164,alexnet,ReLU-2,1.0
165,alexnet,ReLU-2,0.75
166,alexnet,ReLU-2,1.0
