,model,layer,accuracy
0,alexnet,ReLU-1,0.5
1,alexnet,ReLU-1,0.0
2,alexnet,ReLU-1,0.5
3,alexnet,ReLU-1,0.25
4,alexnet,ReLU-1,0.25
5,alexnet,ReLU-1,0.25
6,alexnet,ReLU-1,0.25
7,alexnet,ReLU-1,0.0
8,alexnet,ReLU-1,0.5
9,alexnet,ReLU-1,0.25
10,alexnet,ReLU-1,0.25
11,alexnet,ReLU-1,0.5
12,alexnet,ReLU-1,0.25
13,alexnet,ReLU-1,0.5
14,alexnet,ReLU-1,0.5
15,alexnet,ReLU-1,0.25
16,alexnet,ReLU-1,0.75
17,alexnet,ReLU-1,0.5
18,alexnet,ReLU-1,0.25
19,alexnet,ReLU-1,0.5
20,alexnet,ReLU-1,0.5
21,alexnet,ReLU-1,0.75
22,alexnet,ReLU-1,0.5
23,alexnet,ReLU-1,1.0
24,alexnet,ReLU-1,0.75
25,alexnet,ReLU-1,0.5
26,alexnet,ReLU-1,0.75
27,alexnet,ReLU-1,1.0
28,alexnet,ReLU-1,0.75
29,alexnet,ReLU-1,0.5
30,alexnet,ReLU-1,1.0
31,alexnet,ReLU-1,0.5
32,alexnet,ReLU-1,0.5
33,alexnet,ReLU-1,0.75
34,alexnet,ReLU-1,1.0
35,alexnet,ReLU-1,1.0
36,alexnet,ReLU-1,0.75
37,alexnet,ReLU-1,1.0
38,alexnet,ReLU-1,0.5
39,alexnet,ReLU-1,0.75
40,alexnet,ReLU-1,1.0
41,alexnet,ReLU-1,1.0
42,alexnet,ReLU-1,0.75
43,alexnet,ReLU-1,1.0
44,alexnet,ReLU-1,1.0
45,alexnet,ReLU-1,1.0
46,alexnet,ReLU-1,0.75
47,alexnet,ReLU-1,1.0
48,alexnet,ReLU-1,1.0
49,alexnet,ReLU-1,0.75
50,alexnet,ReLU-1,1.0
51,alexnet,ReLU-1,1.0
52,alexnet,ReLU-1,0.75
53,alexnet,ReLU-1,0.75
54,alexnet,ReLU-1,0.75
55,alexnet,ReLU-1,1.0
56,alexnet,ReLU-1,1.0
57,alexnet,ReLU-1,1.0
58,alexnet,ReLU-1,0.75
59,alexnet,ReLU-1,1.0
60,alexnet,ReLU-1,0.5
61,alexnet,ReLU-1,0.0
62,alexnet,ReLU-1,0.5
63,alexnet,ReLU-1,0.5
64,alexnet,ReLU-1,0.5
65,alexnet,ReLU-1,0.25
66,alexnet,ReLU-1,0.5
67,alexnet,ReLU-1,0.5
68,alexnet,ReLU-1,0.5
69,alexnet,ReLU-1,0.25
70,alexnet,ReLU-1,0.25
71,alexnet,ReLU-1,0.75
72,alexnet,ReLU-1,1.0
73,alexnet,ReLU-1,0.5
74,alexnet,ReLU-1,0.25
75,alexnet,ReLU-1,0.5
76,alexnet,ReLU-1,0.75
77,alexnet,ReLU-1,0.5
78,alexnet,ReLU-1,0.25
79,alexnet,ReLU-1,0.75
80,alexnet,ReLU-1,1.0
81,alexnet,ReLU-1,0.5
82,alexnet,ReLU-1,0.75
83,alexnet,ReLU-1,1.0
84,alexnet,ReLU-1,1.0
85,alexnet,ReLU-1,0.5
86,alexnet,ReLU-1,0.75
87,alexnet,ReLU-1,1.0
88,alexnet,ReLU-1,0.5
89,alexnet,ReLU-1,1.0
90,alexnet,ReLU-1,0.5
91,alexnet,ReLU-1,0.5
92,alexnet,ReLU-1,0.75
93,alexnet,ReLU-1,0.5
94,alexnet,ReLU-1,0.5
95,alexnet,ReLU-1,0.5
96,alexnet,ReLU-1,0.5
97,alexnet,ReLU-1,0.75
98,alexnet,ReLU-1,1.0
99,alexnet,ReLU-1,1.0
100,alexnet,ReLU-1,0.25
101,alexnet,ReLU-1,0.0
102,alexnet,ReLU-1,0.75
103,alexnet,ReLU-1,0.25
104,alexnet,ReLU-1,0.5
105,alexnet,ReLU-1,0.25
106,alexnet,ReLU-1,0.5
107,alexnet,ReLU-1,0.0
108,alexnet,ReLU-1,0.25
109,alexnet,ReLU-1,0.25
110,alexnet,ReLU-1,0.5
111,alexnet,ReLU-1,0.25
112,alexnet,ReLU-1,0.5
113,alexnet,ReLU-1,0.25
114,alexnet,ReLU-1,0.25
115,alexnet,ReLU-1,0.5
116,alexnet,ReLU-1,0.25
117,alexnet,ReLU-1,0.5
118,alexnet,ReLU-1,0.5
119,alexnet,ReLU-1,0.25
120,alexnet,ReLU-2,0.75
121,alexnet,ReLU-2,0.75
122,alexnet,ReLU-2,0.5
123,alexnet,ReLU-2,1.0
124,alexnet,ReLU-2,0.75
125,alexnet,ReLU-2,1.0
126,alexnet,ReLU-2,0.75
127,alexnet,ReLU-2,0.75
128,alexnet,ReLU-2,0.75
129,alexnet,ReLU-2,0.75
130,alexnet,ReLU-2,1.0
131,alexnet,ReLU-2,1.0
132,alexnet,ReLU-2,0.5
133,alexnet,ReLU-2,1.0
134,alexnet,ReLU-2,1.0
135,alexnet,ReLU-2,0.75
136,alexnet,ReLU-2,1.0
137,alexnet,ReLU-2,0.75
138,alexnet,ReLU-2,1.0
139,alexnet,ReLU-2,0.75
140,alexnet,ReLU-2,1.0
141,alexnet,ReLU-2,1.0
142,alexnet,ReLU-2,1.0
143,alexnet,ReLU-2,1.0
144,alexnet,ReLU-2,1.0
145,alexnet,ReLU-2,1.0
146,alexnet,ReLU-2,1.0
147,alexnet,ReLU-2,1.0
148,alexnet,ReLU-2,1.0
149,alexnet,ReLU-2,1.0
150,alexnet,ReLU-2,1.0
151,alexnet,ReLU-2,0.75
152,alexnet,ReLU-2,1.0
153,alexnet,ReLU-2,1.0
154,alexnet,ReLU-2,0.75
155,alexnet,ReLU-2,1.0
156,alexnet,ReLU-2,0.75
157,alexnet,ReLU-2,1.0
158,alexnet,ReLU-2,1.0
159,alexnet,ReLU-2,1.0
160,alexnet,ReLU-2,1.0
161,alexnet,ReLU-2,1.0
162,alexnet,ReLU-2,1.0
163,alexnet,ReLU-2,1.0
164,alexnet,ReLU-2,1.0
165,alexnet,ReLU-2,1.0
166,alexnet,ReLU-2,1.0
167,alexnet,ReLU-2,1.0
168,alexnet,ReLU-2,0.75
169,alexnet,ReLU-2,1.0
170,alexnet,ReLU-2,1.0
171,alexnet,ReLU-2,1.0
172,alexnet,ReLU-2,0.75
173,alexnet,ReLU-2,1.0
174,alexnet,ReLU-2,1.0
175,alexnet,ReLU-2,1.0
176,alexnet,ReLU-2,1.0
177,alexnet,ReLU-2,1.0
178,alexnet,ReLU-2,0.75
179,alexnet,ReLU-2,1.0
180,alexnet,ReLU-2,1.0
181,alexnet,ReLU-2,1.0
182,alexnet,ReLU-2,1.0
183,alexnet,ReLU-2,1.0
184,alexnet,ReLU-2,0.75
185,alexnet,ReLU-2,1.0
186,alexnet,ReLU-2,1.0
187,alexnet,ReLU-2,1.0
188,alexnet,ReLU-2,0.75
189,alexnet,ReLU-2,1.0
190,alexnet,ReLU-2,1.0
191,alexnet,ReLU-2,1.0
192,alexnet,ReLU-2,0.75
193,alexnet,ReLU-2,1.0
194,alexnet,ReLU-2,0.75
195,alexnet,ReLU-2,1.0
196,alexnet,ReLU-2,0.75
197,alexnet,ReLU-2,0.75
198,alexnet,ReLU-2,1.0
199,alexnet,ReLU-2,1.0
200,alexnet,ReLU-2,1.0
